id,loss
4,2185.842889634591
6,2120.9120896394948
9,8951.91073095452
12,5774.102421200836
15,1522.096942167318
17,2206.652666998981
21,2044.0031927128446
28,1735.372256166266
32,2849.8153636487827
43,4016.8424526668723
46,2827.6009484072724
50,1620.5932488662488
54,1640.287855956073
62,2188.384631846043
70,2124.1793898224323
71,5398.822957323418
75,2214.264210523111
77,2989.5259915607853
81,2214.264210523111
83,3144.310568486364
87,1855.81402697868
97,2756.0701954308056
103,2120.9120896394948
119,1976.907392703235
120,2005.4217542771792
127,1958.8091015592818
138,3257.721227889002
141,2240.792956748309
148,2131.1119296014854
150,3485.285384024285
151,2185.842889634591
158,2137.5482270991906
160,6877.133332677302
165,1832.2311099347985
168,4123.240654597115
169,3319.1106168975957
177,2703.7458434956634
178,5181.425369096298
184,2283.230957752824
194,8622.461320031838
198,2145.796161809803
203,5964.019265583824
211,2213.541897228509
217,1705.9520493295354
219,1889.78376640637
221,3353.349210467084
227,2162.656270161787
230,1958.8091015592818
235,2141.3757025471414
240,1522.096942167318
243,2362.7288858895963
249,6533.3078598062875
253,3523.3989490655463
258,2120.9120896394948
261,2230.5931167863178
263,3567.6435983567876
264,2283.501425475082
265,5807.54213085555
268,2057.0835898128225
271,3030.966465179803
274,6893.720555157061
275,1522.096942167318
279,2214.264210523111
282,2147.7480670611812
286,3599.5224327749957
288,2137.5482270991906
294,2385.251807795096
296,1705.9520493295354
297,2307.47863873665
300,1522.096942167318
303,8874.344623413874
314,2137.5482270991906
315,5136.094639513776
321,2277.2840706789184
323,5774.102421200836
330,3557.713180099462
341,3573.8051069776275
342,4778.297190191506
352,1795.3516217843903
353,4964.993018587736
360,6331.6157949026465
361,2183.083989760232
362,4054.2176213687017
366,1522.096942167318
372,3671.013907338548
376,3376.2154860151277
377,2164.6805159436403
379,1738.6691503119102
380,4965.019892185816
387,2081.331270796648
392,2648.3216234843426
394,9585.986342877604
395,1738.6691503119102
397,2120.9120896394948
407,5295.469953288501
411,4875.138225118334
